"id","wallet","ens","lilnounCount"
23,"0x8d028DC71B347268d439432349B55Bc27989851E",,6
65,"0x8F4C87E30371Ee250C5ECa1fCFf33F534F2ece4a",,5
12,"0x1d14d9e297DfbcE003f5A8EbcF8cBa7fAEe70B91",,7
6,"0x00b0Be47fB30cc2497A3EE4160f113f35C456c6F",,1
4,"0x565B93a15d38aCD79c120b15432D21E21eD274d6",,9
9,"0xFC538FFD2923ddDaED09c8aD1a51686275C56183",,37
29,"0x1db19B9903c5510AA5a866ea643Eb021CD12Bda0",,2
11,"0x2E2F6db34fFC3c7C99371886AB3410F8431f8691",,3
42,"0xAcb55BbF310C89670564f4cd9D12eaFB6F84788A",,1
13,"0x625D6405DCac9C82F4b681A131d9182115448F75",,1
57,"0x94CA777cB86d006360FF9bE0661fF112cc3fD945",,1
66,"0x6980826F2989783ffEe9176b381aa1Cc36FD0f57",,1
92,"0x9239b0284c45398e6b48d4DA7d9570Ca65133d19",,1
43,"0x172F19C6066441f6806556FCF5a97B1a86042bE2",,1
60,"0x4754b7e3DEde42D71d6c92978f25F306176EC7e9",,3
45,"0x26c958dee4D9CcA4C106cb0D20F1DAcFbDCD5fd2",,1
17,"0x5090c4Fead5Be112b643BC75d61bF42339675448",,1
18,"0x3CEb1AE4796f6A9BcD825841a6C86e1cE17B46A4",,1
82,"0x711E207B2fa8daceBb4D7cb9E4b0f77D98FAfA22",,1
1,"0x65A3870F48B5237f27f674Ec42eA1E017E111D63",,6
19,"0x174d123cE1EF00EEBF1026fbF061a7a58A928Def",,14
71,"0x34217dAd60fc18c991Cf40032197eb28aDBca7Fb",,1
26,"0xd6CB70a88bB0D8fB1be377bD3E48e603528AdB54",,2
72,"0xe05cb1A2CD350906F32B3635613Ecf9D6A17B96b",,1
59,"0x6cC34D9Fb4AE289256fc1896308D387Aee2bCc52",,1
15,"0x840b490438d9cA67A3daD2Cc9EC678232f19cd29",,24
27,"0xEFCBdc96bFBa90c2406b805b665Ba89e8A8dEdd8",,1
28,"0x8216D02B21710a47367F0548bF68D86cC71d0b67",,44
67,"0x0Ff4bCaF4D736EDB8EBa11dD66A4921e9f8b8B50",,4
46,"0x6C4cb3C4Da1CdC4B7B1F41099F6eacbd82D8F2d2",,1
54,"0xC06250B7ef8ab88Dc281b82db94C0fFf5bADd863",,10
58,"0x3B60e31CFC48a9074CD5bEbb26C9EAa77650a43F",,7
31,"0xa31B444F2CFd111d16D61335247E66Bc491c9039",,1
33,"0x99350e5ebB73569B6fC37a2d68a78B88691A75C6",,1
34,"0x4ae3c7e27e858C02a465f9F653254568d4BF3e9e",,2
36,"0x6fD948ee06EbFBA2775841621CbcCD0C338dB7aD",,3
37,"0xf48b52e054466CfD6956E90FC28E1925a64ADb07",,1
48,"0x13eEf4EF8FCa471f242ab0F8F49A3dB6017aDA33",,3
38,"0xE85621Ca863cD77400E0D14Ec1d9ed91352BB716",,1
25,"0x39D2A54da38d9AB8b57b4914fF684691B93d9eB0",,5
56,"0x126D2cEbD1ff6da07ccBC905fd6e0ee97ca265Ad",,1
21,"0x56383A5Dd01d413fb8B38F2D0FceF5F511F1Dbb9",,2
39,"0x50002a9B8E9938d509DE84DC3eB3aaBFBEc1451e",,5
49,"0x67691771270F0199BfE54a00F8343d15aFc5b872",,1
79,"0x8e777369b4Bd6fbbF20270dC8c599Ea11d919505",,2
50,"0xA09B19F875bE395f789Bd6cFa36031f78CbF44c7",,2
51,"0x568b9bFfF4a3a7C7351db84EC2F4Ad4CA147A1D0",,1
73,"0x3B3e64FA62d3F22b25144c780135f4241457f568",,1
30,"0x47559Ae0A0C0c344F09CcdD52f93a3987409f3bB",,3
78,"0x84956992e2380Df6D6faAD7E115db932D48EE841",,1
22,"0xbAE49fe607bdDb4cB4C946C47CCFcc71c83e4893",,13
2,"0x8B488CC76a38777c2f7B76eB6D49bDF430132Ac9",,2
41,"0xa47f60564085b8792BaE197BE7762C7f7930eC67",,9
53,"0x8a49240B6a8C8c0570E59A58482380EB323Bc7Bd",,1
61,"0x755bf4014D228dFeCCb3c39Db5F51A85C5Bb69a2",,1
80,"0xD8C74902076a815A3D543688f9030037F2a494d8",,1
74,"0x888d35cDA7a2E5DF438B75b89e567C6aC6D36Ab9",,1
62,"0xF7128274D8Ec9D25694E34912beAB3d4B2F50130",,4
63,"0x73496Bc1708B16d16a5C11bAb356817954dF2b05",,1
64,"0xD2035514E8d8389E2d8Ac80113467a3FF1E01D08",,1
68,"0x151E5ade1573Cbd54a6CC4312A5e63733a1DdE35",,1
84,"0x9df412A54229E902401fe8Afc0207cD7DDBCd1B6",,1
81,"0xd40B63bF04a44e43fBFE5784bCf22ACaAB34a180",,1
69,"0xc3633a552065A80b0123717D2e75DdB7D7cBDA16",,1
20,"0xB52235DC0751ce6E171C51fbF459fd6637c6ccc8",,5
44,"0x8D36BaC540C57dBd009eA9d9D8CDF9443A83E3f6",,3
5,"0xC3FdAdbAe46798CD8762185A09C5b672A7aA36Bb",,1
75,"0x8e71C9644898665a91E4dB3Dee8bDde97b3C71BC",,117
76,"0x2F8ab52fC3b40cef63CCC25f96D2DCF6b7A2B735",,53
70,"0xa1a2359BB1C51c4b30d787a3bF76A6819E3Ee083",,5
85,"0x027F56aD81459aF9fBF01DB41FbbF03E5Dd5bC30",,1
55,"0xA697AEdF5af55fd7a3D75122fAa8fFC57e84261C",,1
87,"0xCDbb7F31349a483a47585486c162A12d349036a6",,1
77,"0xbC7f0883B4dd822C06E2dB8458D57aF624814D31",,32
89,"0xfE9D3B6F60F5cA2c76b4B682E497cF04E26E7257",,3
32,"0x14fC0bE8e90aB768226cCCf952506Ce00Bde5029",,24
90,"0x4303Ddc9943D862f2B205aF468a4A786c5137E76",,1
91,"0x17A059B6B0C8af433032d554B0392995155452E6",,2
7,"0x6a024f521f83906671e1a23a8B6c560be7e980F4",,1
95,"0x6ab075abfA7cdD7B19FA83663b1f2a83e4A957e3",,19
93,"0x34C3A5ea06a3A67229fb21a7043243B0eB3e853f",,1
94,"0xCEEd9585854F12F81A0103861b83b995A64AD915",,7
88,"0xaA1c29505160181e493f4B373f0c3206cc2a32a3",,1
86,"0x8C868aB6EA5aA8BF37F58376f0A61c3728aEf904",,32
83,"0x4241B875D35D9990d29a8F8DCCAf88Bad8D46c24",,8
8,"0x9e0e9D25a5ED9bc773f91691f0b45599255257B1",,1
47,"0x6B6c1cc61b21eA4D54AaD6fC8c8fc84b50031F48",,1
16,"0x298b25385E67B471faa64CB1CA17F31684016629",,6
52,"0x86461c46d6955128EfdA424DcBb590Cd3F8E1A18",,1
40,"0xf9d71b5fB8345F2508C1302a74d4362DEAb7D104",,15
14,"0x635Bed3F8b7d8C25305CEa707FF7149D6f2A61f9",,19
10,"0x2eE0485f71764bcD2062A84d9455688c581B90f8",,12
141,"0x70eCe45cDc64A768f936Ccb8aC851578251363e3",,20
98,"0x72dabD33fe53f28FaAc3C804A562A2e3EC96573D",,2
99,"0x2D9Bb0CA565AE83B93737e4f2D9aCC0d2ae21055",,1
100,"0xDb792E5160b281bB299dFf461502D5200b7Bcf33",,3
101,"0xD989842c7508B59D47861800B3EC2bE015Ba9DE1",,1
102,"0x6632a2549A4922607287828D3B37435c1Fa98c58",,1
103,"0x0C1CA53324a9B43E5468664562db592Ca6ef6efA",,1
104,"0x510E74e9Cdc8Dd5627D652a26E49480A81264ED5",,1
105,"0x2478497d75221934DEA6E8aE36DDC8ca60535b0c",,1
188,"0x57f6ee7CB947bae939a9ecc766a55B6F143322f7",,1
35,"0x9655667Ca1203E9A2c8ea2Ed59558F9AD0ACCc87",,49
109,"0x5ce561e048d2cd64523D6316228F97bd2537F92f",,1
110,"0x14190083645Da88B847813581E009a505aB0518d",,2
111,"0x366c0ae1eDBE7c648Bb63fC343910B4e54eE5F87",,2
112,"0xcEb78aBFad166C11e350156fd671b385265a6C87",,4
159,"0xC88563855A54b4A735137Cc7d6926B28fA778C0e",,1
114,"0x9D0A3e2b1669b9D272dB2800DD55418837f21645",,1
115,"0x9b0286bd7A989c5bF6fA05E4e178Cf485D69ffe9",,1
132,"0x47663EC63B94Cfda4b15c8AA5d229e7fFE6c1e58",,1
143,"0xadb8182f9b01b235C78A4c2dC344C9966C458d97",,1
165,"0x36A5Bc205DF1ED65C86301022cfc343a6ce546ff",,64
96,"0x05e189E1BbaF77f1654F0983872fd938AE592eDD",,9
118,"0xB213Fee1170c70C8fB44A1d3dc49c183F357E577",,1
119,"0x0259D65954DfbD0735E094C9CdACC256e5A29dD4",,1
120,"0xC2F644Ab35Da611B6Cec3226FBDbCb62881E92B5",,2
170,"0xF6f0cc35c1aD0AF84576464a1de1c7d00B220fF2",,1
164,"0x67c87c11250A3dD2c459d896d862b0C599dB4248",,2
122,"0x49e81859613153edA09C1068050A0e45BE0Fb69d",,1
123,"0x52227ee7492BF582Ca528457E448Eb37E98fFb8F",,1
145,"0xeB49310e1FebF4E5097705dDcfc6a2691704A8Bf",,1
121,"0xedb2E4aFa660B20dD037E0A552960e5896265158",,65
124,"0x2924639E8aF1f35A08C34334B387Bc6Dc057DB8B",,3
186,"0x810AE546f9f7a63B1e5fbF2aa55584971c713d0E",,1
166,"0xb2a8D7EC5437f90755d3b523591aDf88526b3f33",,1
125,"0x7cB50de96485569e0B5715bB61dFe5CB9B09e2eb",,1
126,"0x3AF64df6337247591754f86718e4057e6d82cd5C",,1
127,"0xb4496906D6EA2685E7A46A14BAEfae9fe3bF0D2f",,1
146,"0x2fb6cB06CdBCE51E1aEB260646a9E7bCD50CAA23",,1
128,"0xa8434daC5127C2308a5518a5A8537f47b1369c2B",,2
107,"0xB789adBb6143038c5048fBF4F410c7E69C6Fced6",,1
129,"0x78d32460D0a53Ac2678e869Eb6b4f6bA9d2Ef360",,1
133,"0x42d55461cA2Dd7A9EfDC9E689A9C9948373f2C7a",,1
117,"0xF2fe14106f7Aacb1af2eF16cF39d3C0D89335ac2",,1
184,"0xb1e077B540551a469F498E615FFB231718c71A9D",,1
135,"0x96234e93d9fb27fdA6414D89adeB963f126F4704",,1
147,"0x73E049B27E52dC32bf88b5C6Fb5e68C127F5c32e",,1
148,"0x645Dd9A924593741DD0B132975b105203BB8BE77",,1
173,"0xE2fc3af0FAeEE9c340f0BCf06CB7d5Bba34122e4",,1
137,"0x1f49F05838b5AbB27a7781a4f75AAB7179C40E8a",,1
130,"0xDE8A79f5D4fd192d0a8DcD3bcA7A7A5eB05A0262",,2
116,"0xD0C9a1F382Dddc6b9AaAF18E130466cFfEE985b9",,1
161,"0x3fAdA26Ce1aA5857483aAf0B25c0136A6112c7D4",,1
179,"0x776a9fA34051c9c3DA59D40F251A54873bf65dF2",,1
97,"0x87772fF7C65B5c93Be52e3504670c6407271F829",,8
182,"0x87a23309D279Db2eef6bba7CAe04ebFfb2314800",,1
138,"0xDc83a95bA39cE454519b3320355F2593E7137c7c",,1
139,"0x4774c2140f54dca848781c391e7f695a5Ad38b2b",,1
140,"0x5EdEb2B0E45ff5549235148643Ca059a679EB490",,2
167,"0x299eff44279648F21eBb1BdAbd7e4167b5149c20",,1
149,"0xc5a204CFa87b45Da687B13248E7822AB4a763096",,1
150,"0xb8C4310eF6cBA7ED25b4855Bac20617A8b3BcD56",,1
151,"0x8454a98a68FC54A30109CA6cC4e90Fa31fB2473E",,1
153,"0x049569adb8a1e8A9349E9F1111C7b7993A4612eB",,10
175,"0x85ae29eF6D38f0595A91e6F4E114202abD21725C",,2
154,"0xdAAD0f92010280dc2EDf7CFb8AB54214a800f7E2",,10
168,"0xA909A8d199e7B113E91b67d2809f454d01Fc34ef",,1
155,"0xdaE3B357B18854eBeeCfE94199ab4BA21DC1c3a1",,2
156,"0x9429695E1AACe83232a140B38D7f265463f66F47",,1
157,"0x7Cfe310b31C71C45a8141326Cb73F7e248a42bd1",,1
169,"0x9Ce6840743F3d01550AABAC539056ee7258C13cA",,7
163,"0x2960388eF9D7De59e37780d4d67C1833EE3e3aAC",,1
144,"0x1e45c69c8bFdD393dF1577F08704698b469585Aa",,2
142,"0xcfBf34d385EA2d5Eb947063b67eA226dcDA3DC38",,2
172,"0x3C2550dDB9294C21d209999Bdaa15f8249d0c161",,2
134,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8",,40
171,"0xd1fFdA9C225DDEE34f0837BF4D4a441bDd54C473",,1
131,"0xDb5Dd352527539b7C3382Bd4B5693E116D09fb9B",,8
174,"0x00cDa37BfC3Dd20349Aa901Fe8646688218d8772",,1
136,"0xdcf37d8Aa17142f053AAA7dc56025aB00D897a19",,28
180,"0x0c9960DDFe2aC696C5dEe9f9FCb89A3d9104c19E",,1
181,"0x5cb97b63a08C8d39bEB02C06f1e6b2681bdFf45C",,1
177,"0xf4fF19C30c98533fd6D3cEcF09b3d6802e470dD0",,2
113,"0xB60c947bfCc9767E94ba36fD2DeC7AA11356c84f",,5
183,"0xb75F87261a1FAC3a86f8A48d55597A622BA3CC48",,7
108,"0xF95f8038Eb7874Cde88A0A9a8270fcC94f5C226e",,1
178,"0x63B6F53a4e8C8D5F474059fa04Ba0951eF28073B",,7
158,"0xA61CcF8F01aF0414Fb5c0Ced4060881e4916117C",,33
185,"0x9112BdcbAD48E7603e8d79f67C6fB4692858F5f9",,3
187,"0x965E30796C562c87a6859613D9408a7480bD914D",,1
160,"0xD639Eec00d734de2c2a3c88a6b35f911a87583f6",,7
152,"0x35F1a5c533398644aD43eA90F98Ed1Bd456F5c89",,6
106,"0x1fe4ee4641E2A6ddf7771eB1c07412ba868bB537",,2
162,"0xFE3A509F8E8eb59209CC8c9b90f7b352781E96f4",,1
3,"0x8BecD7EbF3F910090f9264DFD0Bb221Ea04af8c3",,237
189,"0x373361cd6AD7711f73fa71DDCd1c3f62dA7c4439",,1
190,"0x1cbe86aca1792dF8e5876c3722E637e0f894A939",,1
191,"0x072c3EE4e4C5E4eAbB7F484738797fbF260f056B",,3
192,"0x42701a1a6ec8E3408732d3eD58336cEBe42d56F6",,1
194,"0x1e66a3D0a6A327b1F29e8ACf3a3d9E1E4E088683",,3
196,"0x534631Bcf33BDb069fB20A93d2fdb9e4D4dD42CF",,1
235,"0x32245e7E21c7aAFEbB67A331F3e0a3D32b64D36C",,1
198,"0xd9906b2f00c0aD4DaA8bEf197718e77B8B47B773",,1
200,"0x560DDBB5cCaf91d27e91f0e7c0fA099e7Ee179E6",,1
201,"0xF0CAd7C8b383f79A879eB6Df644e336234EBDac8",,2
236,"0xbFF2a20A3F08B67aF39ac161848Ab63892c493b1",,7
205,"0x545eF01CAd749e47417Fef1e841529898CeD41FD",,1
224,"0x72Ce2E0354cbe02bbcDe91928bF781eC1D738bf9",,1
208,"0x2FB3819f07EE9b6c12A6EB70c76d63e5DEa38328",,3
237,"0xd174ad0D1E36c7a60CD922E966354095233f8F23",,1
209,"0xe9822F18F2654e606a8dFF9d75EDd98367E7c0aE",,3
207,"0x2Cf84928261F655A47d04EC714D3Bedf9375De46",,1
238,"0xdaf780714Ce4931f98129060445fC6Eb4Ab73bB1",,1
195,"0x0B288181E0315D1888aB5a324a1496D3B5419beb",,10
239,"0xa03239b8C59Df2C79665D8cfbf3A6C1a9B2e5668",,1
24,"0x31B6470f3FAE7e488DA60b5fB9713A9a41286250",,20
222,"0x81EAca3EB49d3aff173eFd1A8eAEFf5e1dea00d6",,55
240,"0xbd526246719529AE27D55019D7120b0e17451aF2",,1
225,"0x13c74B7c3D9568d958A122a6439557f53e8faB24",,48
241,"0x3b9F47629cD4D5903cF3eB897aaC4F6b41Dd2589",,1
220,"0x099eF206007E2176a4b221A6a4425BedFc9fa145",,1
193,"0xFA2930a9d96e91B0A7e78d9fEBB7A8c744afD0da",,1
242,"0xC712d479fF0Ae2158f50723a46a7258122a27A94",,1
202,"0xe021847F3E760D00dDF71c3D7391b03A4Ba52897",,10
197,"0xFB6e1171419BC076884d2C6E4e5799FE64173FF6",,14
243,"0x271f8168AD09BAB7476cCB34530Af19e6b0D22E1",,1
244,"0x060f292281784B5176F2668277e00513cbB4c2CB",,1
211,"0xB343880DC01517DcfCbb528864d567e3389753E1",,1
245,"0xcF8e7573894CB97D2589EFdaF04cf65b8ad94cD9",,1
216,"0xCF4e26a7e7eAe4b3840dd31C527096e1265AB990",,1
246,"0x19850F92d090cad78272C0d2c05032B22d3b604C",,1
199,"0x7ce294D2Bcb2dE76a15fcf7055b0B14253Dd3B33",,1
247,"0xEecDc4aaDA2b7902E847529C3be8b94B703E1273",,1
226,"0xdAa0Cc65Aec3ad676f7F0613C91a31DB5E98a7dA",,207
218,"0xb90839d337d21c9BEf200937e567aDe303ff4790",,1
217,"0xfE473552F6bdb509C9B3F927205EEF07bFfD19Eb",,1
248,"0xEa3E33FC49ad319f6464ac80c96078683bd15369",,1
219,"0xF56a436196eD079D223839706ea191c0b785a612",,7
249,"0x93705139d0e89660d3EDb1956D21f354511Da54e",,1
221,"0x8A9ff6323802031dC5A86142908C8d082c57Db98",,1
203,"0xAdB9357077a35d29943393f97F6b67e226283B0D",,2
214,"0x7246195a651fbDF8B39c41fAE139E60339a36aC4",,31
206,"0x5606B493c51316A9e65c9b2A00BbF7Ff92515A3E",,428
250,"0xe412186A1865c4fE54A79e0AdcB08b81233DF674",,1
210,"0xa903C06BF35286f6d1cDAD25396748353979a44C",,6
212,"0x04288bD27F440C479f239DCf8872e082D6731840",,74
234,"0x073f0DC58e9989C827bA5b7b35570B7315652e63",,9
223,"0x35c3885D43e0C98cFfC99257d200272b9505B73A",,8
215,"0x4A9a40b2c44B7D32EcF4E0cC66f5304518eC0A59",,1
227,"0x5d30EA6d8EB2b0C2Fa58B0Df9d023CcecA847893",,1
213,"0x9c57027B1eca93093a6F446422C59C85A5A3Fa52",,1
228,"0x22996B929510142C95FcDA8aa59ef2a257057D47",,1
176,"0x48eab89c643a7E45D3a1029003F90536b2598008",,2
229,"0x8ebF6fc9657167a029E84BE4FaD784C8D67dBC01",,3
230,"0xedA97AB591c5A89DfDcb9AB160600eC75dB64367",,1
231,"0x1bcC47183112f47d7D999501C3b620a1CcF3F3d1",,1
232,"0xE9E20bd38bfc5Df4BdB1846E16C36e23aFd0C347",,1
233,"0xC0e33564E04b9492B0E54A1E46acb29C9fD5542D",,1
251,"0x7b53D4AA8726d528D520B9fD8a34297850B041d0",,8
204,"0x4756e5a5D0668195Feb1EC0e7F96832ffc51c4A8",,1
